Tarih,Portfoy,GR Altın,Ceyrek Altın,Dolar

03/12/22,4694.7631,941.013,1512.9921,14.7521
03/13/22,4694.7631,941.013,1512.9921,14.7521
03/14/22,4665.5570,931.3,1497.253,14.7617
03/15/22,4627.1113,918.134,1475.8543,14.7838
03/16/22,4577.1968,905.771,1456.3288,14.6851
03/17/22,4585.1049,910.636,1464.1509,14.625
03/18/22,4628.2762,918.581,1476.9252,14.779
03/21/22,4628.5469,917.475,1475.1469,14.8099
03/22/22,4631.7328,913.9,1480.0728,14.8405
03/23/22,4648.7100,919.98,1490.04,14.8225
03/24/22,4660.6534,924.006,1496.5084,14.8178
03/25/22,4686.2118,931.806,1509.4428,14.8255
03/26/22,4691.8069,933.473,1512.0459,14.8296
03/28/22,4658.8804,922.46,1493.9824,14.8434
03/31/22,4585.5247,906.718,1468.2637,14.6432
04/01/22,4613.9233,914.06,1480.5253,14.6859
04/05/22,4633.4964,919.33,1488.9344,14.7131
04/07/22,4622.8560,914.726,1481.547,14.7435
04/08/22,4645.9649,921.763,1493.1769,14.7512
04/09/22,4648.7842,923.02,1495.1302,14.7427
04/11/22,4645.2698,922.17,1493.7478,14.7356
04/12/22,4661.9038,930.205,1506.5928,14.6667

